t,ELBO,ll,kl,lmbda
7720,1.2139735221862793,1.2139735221862793,111.419921875,0.0
7740,1.214051604270935,1.214051604270935,111.43810272216797,0.0
7760,1.2141270637512207,1.2141270637512207,111.45625305175781,0.0
7780,1.2142001390457153,1.2142001390457153,111.47440338134766,0.0
7800,1.2142722606658936,1.2142722606658936,111.49253845214844,0.0
7820,1.2143429517745972,1.2143429517745972,111.51066589355469,0.0
7840,1.214412808418274,1.214412808418274,111.52880096435547,0.0
7860,1.2144825458526611,1.2144825458526611,111.54692077636719,0.0
7880,1.214551329612732,1.214551329612732,111.56502532958984,0.0
7900,1.2146196365356445,1.2146196365356445,111.58314514160156,0.0
7920,1.2146875858306885,1.2146875858306885,111.60124206542969,0.0
7940,1.2147549390792847,1.2147549390792847,111.61934661865234,0.0
7960,1.214821219444275,1.214821219444275,111.637451171875,0.0
7980,1.2148882150650024,1.2148882150650024,111.65554809570312,0.0
8000,1.2149540185928345,1.2149540185928345,111.67363739013672,0.0
8020,1.2150205373764038,1.2150205373764038,111.69171905517578,0.0
8040,1.2150861024856567,1.2150861024856567,111.70980072021484,0.0
8060,1.215151309967041,1.215151309967041,111.72789764404297,0.0
8080,1.215216040611267,1.215216040611267,111.74597930908203,0.0
8100,1.2152801752090454,1.2152801752090454,111.76407623291016,0.0
8120,1.215343713760376,1.215343713760376,111.78215789794922,0.0
8140,1.2154079675674438,1.2154079675674438,111.80026245117188,0.0
8160,1.2154710292816162,1.2154710292816162,111.8183822631836,0.0
8180,1.2155334949493408,1.2155334949493408,111.83649444580078,0.0
8200,1.2155958414077759,1.2155958414077759,111.8546142578125,0.0
8220,1.215657114982605,1.215657114982605,111.87276458740234,0.0
8240,1.2157185077667236,1.2157185077667236,111.89091491699219,0.0
8260,1.2157789468765259,1.2157789468765259,111.90907287597656,0.0
8280,1.215839147567749,1.215839147567749,111.92724609375,0.0
8300,1.2158981561660767,1.2158981561660767,111.9454116821289,0.0
8320,1.2159556150436401,1.2159556150436401,111.9636001586914,0.0
8340,1.2160142660140991,1.2160142660140991,111.98179626464844,0.0
8360,1.216072678565979,1.216072678565979,111.99998474121094,0.0
8380,1.2161296606063843,1.2161296606063843,112.0181884765625,0.0
8400,1.2161861658096313,1.2161861658096313,112.03636932373047,0.0
8420,1.2162426710128784,1.2162426710128784,112.05457305908203,0.0
8440,1.2162994146347046,1.2162994146347046,112.07278442382812,0.0
8460,1.2163548469543457,1.2163548469543457,112.09099578857422,0.0
8480,1.21640944480896,1.21640944480896,112.10918426513672,0.0
8500,1.2164617776870728,1.2164617776870728,112.12739562988281,0.0
8520,1.2165127992630005,1.2165127992630005,112.14559936523438,0.0
